B73Mo17_rep2_A1	A1
B73Mo17_rep2_A2	A2
B73Mo17_rep2_A3	A3
B73Mo17_rep2_A4	A4
B73Mo17_rep2_A5	A5
B73Mo17_rep2_A6	A6
B73Mo17_rep2_A7	A7
B73Mo17_rep2_A8	A8
B73Mo17_rep2_A9	A9
B73Mo17_rep2_A10	A10
B73Mo17_rep2_A11	A11
B73Mo17_rep2_A12	A12
B73Mo17_rep2_B1	B1
B73Mo17_rep2_B2	B2
B73Mo17_rep2_B3	B3
B73Mo17_rep2_B4	B4
B73Mo17_rep2_B5	B5
B73Mo17_rep2_B6	B6
B73Mo17_rep2_B7	B7
B73Mo17_rep2_B8	B8
B73Mo17_rep2_B9	B9
B73Mo17_rep2_B10	B10
B73Mo17_rep2_B11	B11
B73Mo17_rep2_B12	B12
B73Mo17_rep2_C1	C1
B73Mo17_rep2_C2	C2
B73Mo17_rep2_C3	C3
B73Mo17_rep2_C4	C4
B73Mo17_rep2_C5	C5
B73Mo17_rep2_C6	C6
B73Mo17_rep2_C7	C7
B73Mo17_rep2_C8	C8
B73Mo17_rep2_C9	C9
B73Mo17_rep2_C10	C10
B73Mo17_rep2_C11	C11
B73Mo17_rep2_C12	C12
B73Mo17_rep2_D1	D1
B73Mo17_rep2_D2	D2
B73Mo17_rep2_D3	D3
B73Mo17_rep2_D4	D4
B73Mo17_rep2_D5	D5
B73Mo17_rep2_D6	D6
B73Mo17_rep2_D7	D7
B73Mo17_rep2_D8	D8
B73Mo17_rep2_D9	D9
B73Mo17_rep2_D10	D10
B73Mo17_rep2_D11	D11
B73Mo17_rep2_D12	D12
B73Mo17_rep2_E1	E1
B73Mo17_rep2_E2	E2
B73Mo17_rep2_E3	E3
B73Mo17_rep2_E4	E4
B73Mo17_rep2_E5	E5
B73Mo17_rep2_E6	E6
B73Mo17_rep2_E7	E7
B73Mo17_rep2_E8	E8
B73Mo17_rep2_E9	E9
B73Mo17_rep2_E10	E10
B73Mo17_rep2_E11	E11
B73Mo17_rep2_E12	E12
B73Mo17_rep2_F1	F1
B73Mo17_rep2_F2	F2
B73Mo17_rep2_F3	F3
B73Mo17_rep2_F4	F4
B73Mo17_rep2_F5	F5
B73Mo17_rep2_F6	F6
B73Mo17_rep2_F7	F7
B73Mo17_rep2_F8	F8
B73Mo17_rep2_F9	F9
B73Mo17_rep2_F10	F10
B73Mo17_rep2_F11	F11
B73Mo17_rep2_F12	F12
B73Mo17_rep2_G1	G1
B73Mo17_rep2_G2	G2
B73Mo17_rep2_G3	G3
B73Mo17_rep2_G4	G4
B73Mo17_rep2_G5	G5
B73Mo17_rep2_G6	G6
B73Mo17_rep2_G7	G7
B73Mo17_rep2_G8	G8
B73Mo17_rep2_G9	G9
B73Mo17_rep2_G10	G10
B73Mo17_rep2_G11	G11
B73Mo17_rep2_G12	G12
B73Mo17_rep2_H1	H1
B73Mo17_rep2_H2	H2
B73Mo17_rep2_H3	H3
B73Mo17_rep2_H4	H4
B73Mo17_rep2_H5	H5
B73Mo17_rep2_H6	H6
B73Mo17_rep2_H7	H7
B73Mo17_rep2_H8	H8
B73Mo17_rep2_H9	H9
B73Mo17_rep2_H10	H10
B73Mo17_rep2_H11	H11
B73Mo17_rep2_H12	H12
